Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
100066,1,0,3.074,0.65,3,2,3,True,14.09,3,0,5,3.416,80.16,2
100067,4,1,3.329,6.73,1,2,4,True,15.32,3,1,2,3.702,80.75,2
100068,0,1,3.606,1.1,3,1,2,False,17.55,2,2,3,3.758,60.58,2
100069,4,4,3.645,16.74,2,0,3,True,6.48,4,1,2,3.879,78.14,0
100070,3,1,2.838,9.62,0,1,1,True,7.64,5,1,5,2.951,65.48,1
100071,0,1,3.047,18.86,2,1,1,True,13.19,6,1,7,3.295,53.65,0
100072,4,0,3.117,13.89,0,1,2,False,9.7,8,1,6,3.326,45.39,2
100073,4,1,3.251,9.97,1,0,3,False,6.39,3,0,5,3.687,80.79,1
100074,0,0,2.579,8.72,3,0,3,False,14.07,4,1,3,2.962,63.96,1
100075,1,0,2.919,2.08,2,1,1,False,19.29,5,1,3,3.389,58.03,1
100076,1,2,2.023,5.4,0,1,2,False,13.8,2,1,5,2.468,72.32,2
100077,0,0,2.494,7.29,0,1,3,False,6.21,1,1,7,2.393,78.1,1
100078,4,0,3.631,0.9,1,0,4,True,11.39,1,1,2,3.969,85.55,1
100079,2,1,2.659,8.84,0,2,2,False,16.3,1,1,8,3.21,77.88,0
100080,4,1,2.862,5.01,4,1,3,True,14.7,2,1,1,3.293,76.51,2
100081,0,3,3.274,2.79,0,1,2,True,1.96,2,1,1,3.195,69.29,1
100082,1,2,3.332,8.53,2,1,2,False,12.93,4,2,2,3.421,64.26,1
100083,2,1,3.221,13.97,4,1,1,False,4.38,4,0,4,3.418,75.13,2
100084,4,0,3.414,3.7,1,2,4,False,17.94,2,1,2,3.691,73.6,2
100085,2,1,2.132,8.18,2,0,4,False,12.32,4,0,3,2.354,65.13,1
100086,2,4,3.106,8.23,1,2,3,False,18.91,3,2,3,3.334,81.48,2
100087,1,1,3.033,9.65,3,2,5,True,2.81,2,2,5,3.216,93.82,0
100088,1,3,2.549,13.19,3,1,2,True,11.21,6,1,5,2.855,59.64,2
100089,3,1,3.367,6.51,4,1,3,True,2.53,1,0,2,3.389,79.27,0
100090,2,1,3.544,34.0,1,1,2,False,8.67,6,0,1,3.795,68.8,0
100091,4,1,2.291,7.91,1,2,5,False,14.46,3,0,6,2.75,55.09,2
100092,1,2,2.592,5.87,0,2,5,True,8.39,3,2,2,3.139,65.99,0
100093,0,3,2.561,0.16,1,2,5,False,14.86,3,1,1,2.887,68.77,1
100094,1,3,2.778,12.92,2,2,2,True,9.91,7,0,8,3.17,74.32,2
100095,0,0,3.099,21.32,4,1,2,True,12.78,3,1,4,3.378,76.16,2
100096,2,3,3.773,5.21,0,1,1,False,11.81,1,1,3,3.873,59.56,0
100097,1,0,2.907,3.32,2,2,2,False,8.4,2,0,5,2.993,71.8,2
100098,2,1,2.292,3.02,0,1,2,False,9.14,2,1,3,2.918,66.73,2
100099,4,0,2.016,28.71,1,0,5,True,5.64,6,1,4,2.473,55.74,2
100100,4,1,2.661,11.3,2,0,3,False,11.04,6,1,2,2.754,98.76,0
100101,4,4,3.612,25.83,1,2,3,True,10.46,7,1,6,3.715,62.3,0
100102,1,0,2.038,8.9,1,2,3,True,13.27,6,2,4,1.942,55.12,2
100103,2,1,3.786,3.32,0,1,2,True,10.21,5,1,2,4.0,56.37,2
100104,1,0,3.204,4.77,1,2,2,False,13.78,2,1,4,3.348,85.52,1
100105,3,2,2.076,5.72,0,2,2,True,13.43,2,0,2,2.307,63.93,2
100106,4,3,2.972,9.6,1,2,3,True,8.86,3,1,1,3.234,87.33,2
100107,2,4,2.728,6.37,0,0,3,True,9.82,2,2,1,2.869,84.71,1
100108,0,2,2.133,4.33,2,1,1,False,11.66,2,2,4,2.468,72.83,1
100109,4,3,2.926,0.43,0,2,4,False,19.85,3,1,1,3.321,94.36,1
100110,4,1,2.379,10.28,3,0,4,False,21.84,4,1,2,3.09,96.15,1
100111,4,0,3.866,7.54,1,1,1,False,5.89,2,2,4,4.0,53.65,1
100112,4,0,3.203,12.06,3,1,3,True,10.76,6,1,6,3.257,82.36,2
100113,3,2,3.501,9.86,3,2,2,False,10.92,5,1,3,3.839,85.42,1
100114,0,4,3.151,2.86,0,1,1,True,8.7,4,1,1,3.176,66.09,1
100115,1,4,3.784,2.61,3,0,5,False,17.37,1,1,3,4.0,83.06,1
100116,3,4,3.242,1.25,3,1,3,False,8.2,2,1,3,3.705,78.83,2
100117,0,2,2.845,5.45,4,0,3,True,13.36,3,0,4,3.213,61.45,1
100118,4,1,3.915,0.73,1,2,2,False,14.34,1,2,6,4.0,62.09,1
100119,3,0,2.67,27.9,4,1,2,False,3.85,7,1,5,2.602,62.97,2
100120,1,0,2.074,0.9,3,0,5,True,14.29,1,1,3,2.217,69.58,1
100121,0,3,1.845,3.58,3,2,4,False,13.55,3,1,2,2.293,63.51,2
100122,3,0,3.667,0.51,2,1,2,False,18.15,4,0,9,3.99,69.49,1
100123,2,3,3.684,18.48,0,1,1,False,15.63,4,1,4,4.0,88.85,2
100124,4,4,3.856,3.16,3,0,3,True,6.88,5,0,6,4.0,93.35,2
100125,4,4,3.446,40.0,4,2,4,False,7.47,10,0,2,3.441,76.67,0
100126,2,4,3.086,18.06,1,1,2,False,7.85,7,0,8,3.137,86.56,2
100127,0,4,2.461,5.4,2,2,2,False,11.48,4,1,2,2.574,96.82,1
100128,0,3,3.887,23.63,3,1,2,True,17.8,7,2,9,4.0,76.58,2
100129,4,1,3.092,3.94,1,2,4,False,13.31,3,1,3,3.456,63.1,2
100130,1,2,3.537,8.18,3,2,2,False,14.57,2,0,1,3.576,96.33,1
100131,2,2,3.138,1.62,0,1,2,False,11.94,1,1,6,3.146,48.73,1
100132,4,0,3.505,20.76,3,0,3,True,7.95,5,1,4,4.0,84.53,1
100133,4,3,3.724,9.69,1,1,3,False,13.35,5,0,5,3.897,73.28,2
100134,2,2,3.416,16.77,2,0,3,False,11.01,6,1,1,3.717,67.16,0
100135,3,0,2.398,6.97,4,1,2,False,10.01,3,1,7,2.57,67.06,1
100136,2,0,2.686,6.39,1,1,1,True,8.27,3,0,7,2.785,56.59,2
100137,1,0,3.164,11.13,1,1,3,True,12.68,8,1,3,3.49,77.45,2
100138,1,0,2.767,0.44,3,0,4,True,19.67,4,2,2,3.137,82.77,2
100139,2,3,3.706,4.18,2,2,1,True,5.38,1,1,3,3.881,59.74,2
100140,3,1,3.393,1.9,3,1,2,False,9.32,3,1,2,3.384,64.37,1
100141,3,3,2.443,20.69,3,1,2,False,1.95,4,1,7,2.674,79.7,0
100142,4,2,2.407,25.2,1,0,4,True,10.34,4,1,4,2.794,69.1,0
100143,2,4,3.43,10.37,0,0,4,True,16.72,4,0,1,3.641,78.81,2
100144,2,4,3.668,16.61,4,1,3,False,6.92,5,1,7,3.645,76.77,0
100145,4,2,3.691,22.04,4,2,1,True,1.0,6,1,9,3.877,72.99,1
100146,4,4,2.425,9.16,3,0,3,False,18.86,5,0,4,2.992,90.32,0
100147,1,4,3.087,25.66,3,2,1,False,1.0,5,1,4,3.103,79.98,0
100148,1,2,2.107,6.05,3,1,2,True,6.14,1,0,1,2.313,76.11,1
100149,4,4,3.221,40.0,1,1,3,True,4.54,6,1,5,3.347,57.02,0
100150,4,0,3.641,35.18,1,0,4,True,7.77,8,0,6,3.84,51.53,0
100151,3,0,3.85,20.4,0,1,1,False,16.51,6,0,6,4.0,100.0,2
100152,4,4,2.784,4.43,0,2,5,True,17.4,4,1,3,3.092,82.92,1
100153,4,2,2.871,4.13,4,0,4,False,10.31,1,1,4,2.848,85.82,2
100154,2,4,3.518,4.01,3,2,3,True,18.42,1,1,3,3.728,88.31,1
100155,3,0,3.661,1.52,4,2,3,False,8.0,3,2,2,3.851,48.59,2
100156,4,4,3.441,1.35,0,0,3,False,20.18,3,0,4,3.745,72.69,2
100157,1,0,2.323,9.72,4,1,3,False,10.26,6,1,7,2.537,73.34,0
100158,0,1,3.033,3.86,0,1,3,True,6.6,5,0,5,3.487,71.38,0
100159,4,4,2.148,10.2,2,1,2,True,6.81,4,2,4,2.536,81.38,0
100160,1,0,3.491,2.92,3,2,3,True,13.33,4,0,9,3.739,77.34,2
100161,2,3,3.564,2.76,0,1,3,False,21.05,1,0,5,4.0,66.33,1
100162,1,4,3.518,9.49,4,1,2,False,7.24,5,2,5,3.553,76.08,1
100163,1,2,3.34,2.62,1,1,1,False,18.85,3,1,2,3.728,81.7,0
100164,1,0,3.565,1.41,3,2,2,False,15.13,4,1,5,3.905,80.89,1
100165,4,1,2.309,27.25,1,1,3,True,12.13,6,1,5,2.606,70.82,0
100166,0,1,3.365,9.67,3,1,2,False,7.94,3,0,5,3.286,66.16,0
100167,2,3,3.257,1.18,4,1,1,False,16.79,1,2,2,3.809,81.93,0
100168,4,3,2.258,2.67,1,2,1,False,6.45,3,1,1,2.326,82.16,1
100169,4,2,2.086,4.31,1,2,2,False,5.11,2,2,5,2.38,51.4,2
100170,1,1,2.331,5.54,4,2,2,True,11.0,3,2,4,2.493,83.54,0
100171,1,2,1.737,0.78,3,0,4,True,15.51,5,1,5,2.001,82.74,1
100172,4,4,3.3,2.54,3,2,1,False,9.31,4,1,7,3.386,80.69,2
100173,1,0,2.624,0.11,4,0,3,False,10.56,3,1,7,2.737,71.53,2
100174,4,0,3.478,9.82,0,1,2,False,1.21,3,1,6,3.476,41.99,1
100175,1,2,2.121,14.99,2,2,2,False,14.5,6,0,3,2.264,65.19,2
100176,4,4,3.174,2.13,1,1,2,False,18.79,5,0,8,3.084,69.25,0
100177,1,3,3.349,18.12,3,0,4,False,6.81,6,1,5,3.457,87.34,0
100178,2,4,2.576,3.46,4,1,3,True,18.16,3,1,4,2.835,73.45,1
100179,3,1,3.66,2.94,0,1,1,True,12.84,3,2,5,3.961,59.54,1
100180,4,2,2.866,2.7,1,0,5,False,10.94,2,0,2,3.515,66.28,1
100181,2,2,2.129,26.24,0,0,5,True,7.7,7,2,9,2.284,82.23,0
100182,4,2,3.676,3.1,1,1,1,True,17.08,4,2,1,3.814,57.65,1
100183,3,1,3.443,3.49,3,0,3,True,10.52,2,0,3,3.805,90.63,0
100184,3,0,3.295,0.75,4,1,2,False,18.67,1,1,5,3.413,64.58,1
100185,4,0,3.022,37.66,0,2,3,True,7.47,6,1,7,3.26,55.99,2
100186,1,3,3.43,0.36,1,1,2,False,12.55,4,1,1,3.995,90.27,1
100187,0,3,2.82,3.33,0,2,3,False,12.62,2,1,1,3.102,61.83,1
100188,1,2,3.396,1.87,0,2,3,False,3.97,2,0,1,3.49,55.3,2
100189,1,4,3.326,3.23,3,1,2,False,15.68,1,1,4,3.592,62.61,2
100190,4,4,3.414,1.7,0,2,4,False,10.47,3,1,8,3.882,89.38,1
100191,4,4,3.05,3.49,4,2,2,False,3.56,2,0,1,2.981,92.74,1
100192,3,1,3.668,3.05,4,2,2,False,5.0,4,0,9,4.0,96.43,0
100193,3,4,3.282,2.41,2,1,2,False,12.17,3,1,1,3.661,100.0,1
100194,1,3,3.295,7.69,0,0,5,False,16.64,1,1,2,3.857,95.01,1
100195,2,3,2.228,3.64,3,1,3,False,2.4,1,1,5,2.429,72.68,2
100196,2,0,3.781,2.11,0,2,2,False,18.87,2,0,3,3.95,87.3,2
100197,1,0,3.861,6.34,2,1,2,False,11.62,3,1,6,3.797,55.28,1
100198,3,4,2.816,2.64,2,2,1,False,13.48,1,1,6,2.921,76.6,1
100199,3,3,1.691,8.1,4,1,3,False,9.79,4,1,3,1.86,58.58,2
100200,0,4,2.874,14.28,2,0,3,False,13.68,6,2,5,3.035,87.08,0
100201,1,0,3.337,17.53,0,1,2,True,13.95,6,2,10,3.714,53.77,2
100202,4,4,2.773,1.76,4,0,3,True,18.52,2,0,2,3.061,68.03,1
100203,4,0,3.548,0.87,1,2,5,True,12.01,4,2,7,3.673,72.33,2
100204,3,0,2.053,10.51,2,1,3,False,11.46,4,1,6,2.172,73.12,1
100205,1,4,3.357,21.32,1,1,2,True,14.42,6,1,6,3.824,64.84,2
100206,4,0,3.219,8.15,1,2,3,True,17.99,4,0,6,3.384,62.0,2
100207,4,3,3.819,0.81,1,1,2,True,12.11,4,0,5,4.0,88.92,2
100208,1,4,3.166,9.73,3,1,1,False,11.08,4,1,4,3.424,88.19,1
100209,4,3,3.742,1.59,2,1,2,True,20.06,4,0,6,4.0,57.99,2
100210,4,2,2.358,6.03,4,0,4,True,10.87,2,1,7,2.525,73.66,2
100211,1,1,3.179,9.61,1,0,3,True,6.04,4,1,7,3.448,85.19,2
100212,1,0,3.37,16.68,4,0,4,True,13.45,5,1,6,3.544,60.04,2
100213,1,0,2.363,6.12,3,0,5,True,11.18,6,1,1,2.653,92.54,1
100214,4,1,3.741,4.25,2,1,2,True,1.29,4,1,7,3.903,89.03,2
100215,1,3,3.815,5.75,4,0,5,True,10.43,3,1,6,4.0,77.85,1
100216,4,0,3.098,1.91,1,2,2,True,3.43,4,1,6,2.936,62.17,1
100217,2,0,2.833,4.27,0,2,3,False,1.0,5,0,1,2.957,77.19,0
100218,1,1,3.528,7.89,3,1,2,False,23.25,2,2,2,4.0,98.6,0
100219,1,0,2.684,2.69,3,1,1,False,14.68,2,1,3,2.888,86.1,1
100220,0,1,3.212,3.85,0,2,3,True,21.18,4,0,6,3.444,67.65,1
100221,1,1,3.338,23.56,3,0,3,True,1.73,7,0,9,3.623,79.2,0
100222,1,4,3.392,0.18,1,1,3,False,19.52,1,2,1,3.568,75.24,1
100223,4,3,3.062,21.42,4,0,4,False,10.64,3,2,4,3.035,63.98,0
100224,2,2,3.041,11.81,4,1,3,False,16.54,2,1,3,3.149,70.08,0
100225,4,3,3.565,4.6,3,1,3,False,20.32,3,1,5,3.834,76.92,2
100226,4,4,3.337,3.82,0,1,3,True,10.28,1,0,1,3.378,90.81,2
100227,3,0,1.928,9.33,4,0,4,False,1.0,2,0,6,1.866,49.12,1
100228,2,3,3.225,15.05,4,1,3,False,4.01,5,0,7,3.354,59.27,2
100229,3,0,3.167,0.39,4,1,3,False,21.6,1,1,3,3.643,80.69,1
100230,1,1,2.767,6.3,3,2,1,False,8.96,1,0,1,3.032,65.87,2
100231,0,4,3.29,2.28,3,1,1,True,5.92,1,1,2,3.646,81.36,1
100232,1,0,3.653,1.27,3,2,5,False,10.97,4,1,3,3.572,72.15,0
100233,1,4,3.767,5.41,3,1,1,False,6.16,3,1,7,3.61,61.21,1
100234,2,1,3.609,0.76,1,0,5,False,14.74,2,2,1,4.0,89.33,1
100235,4,4,3.319,8.17,2,0,3,False,16.89,3,1,5,3.641,88.9,0
100236,1,1,3.133,0.26,3,1,3,True,17.54,1,1,5,3.209,81.38,2
100237,4,0,3.291,8.76,0,2,3,True,16.54,2,2,3,3.644,100.0,2
100238,4,2,3.857,3.97,2,0,4,False,23.89,1,1,4,4.0,100.0,2
100239,1,1,3.351,15.28,3,1,2,False,15.69,6,0,7,3.623,78.96,2
100240,4,0,3.381,7.75,1,1,1,False,14.91,3,1,4,3.474,74.92,2
100241,3,4,3.555,5.97,4,1,1,True,11.13,2,1,2,3.516,82.38,1
100242,3,1,3.511,9.68,4,1,2,True,17.3,6,0,3,3.704,86.02,0
100243,3,2,3.267,1.62,4,0,3,False,8.63,5,0,2,3.52,73.95,2
100244,2,3,2.689,0.67,0,1,2,False,7.05,3,2,5,2.993,87.34,2
100245,4,3,3.589,22.12,3,2,2,False,10.25,7,1,10,3.635,97.9,2
100246,3,2,2.81,19.75,2,1,2,True,3.18,6,1,1,2.358,64.94,0
100247,2,3,3.495,9.09,0,1,3,True,13.12,2,2,5,3.745,72.68,0
100248,3,2,2.312,14.79,1,0,3,True,10.08,2,1,2,2.989,100.0,2
100249,3,3,3.915,7.89,4,2,4,False,20.54,6,2,4,4.0,78.11,2
100250,0,0,3.803,5.74,0,1,1,True,14.62,4,1,3,3.803,67.41,1
100251,4,1,3.016,12.75,3,0,3,True,21.44,6,1,3,3.507,82.28,0
100252,2,3,3.332,9.12,2,0,4,True,12.83,5,1,3,3.72,83.47,2
100253,0,4,2.648,1.43,0,1,3,False,10.69,3,0,2,2.517,71.83,1
100254,2,2,3.878,11.89,1,2,3,True,8.94,4,1,3,4.0,64.07,2
100255,4,4,2.069,25.73,0,1,2,False,19.14,7,1,6,2.314,59.48,0
100256,1,3,2.738,7.93,3,2,2,True,1.7,1,2,1,3.103,63.11,1
100257,3,1,3.164,3.38,2,0,3,True,12.47,1,2,2,3.636,81.63,0
100258,1,0,3.416,2.17,4,0,3,False,17.99,1,1,2,3.669,89.41,1
100259,1,1,2.41,7.72,0,0,3,False,6.6,2,1,2,2.556,76.43,0
100260,4,0,2.637,0.74,1,0,3,True,14.56,2,1,3,3.132,84.55,2
100261,1,2,3.244,20.81,3,0,3,True,11.55,5,1,4,3.651,87.79,2
100262,3,2,3.506,5.02,4,2,2,False,10.09,1,1,3,3.88,71.93,1
100263,4,4,3.825,18.43,1,2,3,True,7.11,3,0,3,4.0,87.29,1
100264,1,2,3.05,22.73,4,1,3,True,11.01,7,1,6,3.284,68.48,0
100265,3,3,2.94,1.62,4,2,3,True,11.71,4,2,2,3.211,82.2,1
100266,1,4,3.293,10.66,1,1,1,False,6.63,3,1,2,3.37,89.83,1
100267,1,0,2.912,12.22,3,2,1,False,11.33,5,1,3,2.95,65.63,2
100268,1,2,3.302,23.57,0,2,4,True,21.08,6,1,7,3.567,89.24,2
100269,2,3,3.472,3.46,0,2,3,True,9.68,1,0,3,3.848,69.07,2
100270,4,1,2.579,0.86,3,1,1,True,8.9,1,0,1,2.888,80.34,1
100271,0,0,2.991,9.42,0,1,1,True,10.47,5,0,7,3.261,79.72,1
100272,0,1,2.736,1.3,1,1,2,True,12.06,5,0,4,2.995,73.16,0
100273,0,2,3.616,3.95,0,1,2,False,1.18,3,2,9,3.863,62.9,0
100274,3,4,2.807,21.31,4,1,3,False,10.46,8,2,8,2.855,53.56,2
100275,1,1,3.706,0.8,0,2,4,False,10.72,4,0,6,3.948,100.0,1
100276,1,4,3.517,6.5,4,2,3,True,11.21,1,1,1,3.78,72.34,0
100277,0,3,3.444,0.39,0,1,3,False,9.38,1,1,4,3.618,68.24,0
100278,1,3,3.586,14.54,3,1,1,False,13.74,4,2,7,3.908,62.69,0
100279,1,2,3.117,1.65,0,1,2,False,7.45,5,1,1,3.292,66.31,0
100280,0,3,3.302,0.33,4,1,2,False,14.09,2,1,3,3.335,93.98,2
100281,3,2,3.765,5.79,1,1,2,False,18.43,1,1,2,4.0,96.43,1
100282,2,0,3.84,5.69,0,1,1,False,19.29,5,1,4,4.0,72.7,2
100283,2,3,2.864,7.31,0,0,3,True,11.41,3,0,4,3.235,92.27,2
100284,4,1,2.235,21.44,1,2,3,True,10.15,4,2,8,2.594,80.69,0
100285,1,2,3.039,0.49,3,2,4,False,10.57,1,0,1,3.067,80.71,1
100286,4,1,3.112,11.33,2,2,2,False,3.98,4,0,6,3.159,71.73,0
100287,2,2,3.156,0.61,3,1,2,False,20.45,1,0,4,3.562,77.08,2
100288,1,2,2.672,13.55,3,0,4,True,2.54,6,1,6,2.911,86.59,2
100289,4,3,3.497,4.77,2,0,3,False,13.94,2,0,4,3.63,97.52,2
100290,1,0,2.628,4.78,1,0,5,True,6.4,2,1,1,2.598,76.75,0
100291,4,1,3.389,8.49,1,2,2,True,12.85,3,1,3,3.48,89.74,0
100292,4,3,2.857,29.02,4,2,1,False,12.57,6,1,6,3.225,52.64,2
100293,0,1,2.566,16.4,0,1,2,True,18.53,4,2,5,2.606,52.09,0
100294,2,2,3.531,6.12,0,1,2,False,19.66,3,1,1,4.0,69.49,2
100295,4,1,2.784,4.2,1,2,3,False,15.22,5,1,6,3.066,66.18,0
100296,1,3,3.325,24.66,0,0,4,False,10.07,5,1,3,3.598,100.0,2
100297,0,2,3.393,10.72,4,0,5,True,13.07,5,1,7,3.695,71.89,2
100298,4,1,2.788,18.58,2,0,3,False,1.6,6,1,7,3.016,77.43,0
100299,1,2,3.008,3.03,3,0,3,False,17.44,2,1,5,3.5,100.0,2
100300,4,2,2.37,0.12,1,2,3,False,17.41,5,2,8,2.714,84.97,1
100301,4,0,3.399,13.25,0,2,3,False,1.0,6,1,4,3.501,67.93,2
100302,1,1,2.869,3.16,3,2,3,False,11.71,3,1,2,2.939,73.9,2
100303,1,4,3.182,27.29,3,1,1,False,5.18,7,0,4,3.263,40.0,2
100304,1,0,3.062,6.81,3,1,3,False,10.36,1,1,2,2.96,55.25,1
100305,1,0,2.666,40.0,3,0,5,True,6.91,9,1,3,2.724,85.51,0
100306,3,2,2.437,0.41,4,1,1,True,14.34,1,0,1,2.435,79.28,1
100307,1,4,3.352,4.54,4,1,1,False,8.95,5,0,6,3.566,68.95,1
100308,2,3,2.707,7.94,3,2,1,True,7.12,3,1,5,2.981,74.44,2
100309,0,4,3.006,1.79,0,1,2,False,10.66,2,0,2,3.104,64.43,1
100310,4,3,2.75,3.31,1,1,3,True,13.96,4,1,3,2.685,91.55,1
100311,2,0,2.806,8.83,1,0,3,True,14.11,1,0,3,3.292,97.27,1
100312,4,4,3.695,11.05,1,2,1,False,17.08,4,1,5,4.0,84.26,2
100313,4,3,2.391,0.28,1,1,2,False,12.76,2,1,5,2.564,86.21,1
100314,3,4,3.795,2.26,4,2,2,False,25.64,1,2,1,4.0,68.26,1
100315,0,0,3.067,8.17,1,0,3,True,17.36,2,0,5,3.666,100.0,1
100316,1,1,3.91,1.92,3,1,2,False,11.83,3,0,4,4.0,88.9,2
100317,2,0,3.162,15.07,0,0,4,True,13.03,3,0,1,3.432,95.56,2
